KW 2020;Anzahl Testungen;Positiv getestet ;Positivenrate (%);Anzahl übermittelnde Labore
Bis KW 10;124.716;3.892;3,12;90
11;127.457;7.582;5,95;114
12;348.619;23.820;6,83;152
13;361.515;31.414;8,69;151
14;408.348;36.885;9,03;154
15;380.197;30.791;8,10;164
16;331.902;22.082;6,65;168
17;363.890;18.083;4,97;178
18;326.788;12.608;3,86;175
19;403.875;10.755;2,66;182
20;432.666;7.233;1,67;183
21;353.467;5.218;1,48;179
22;405.269;4.310;1,06;178
23;340.986;3.208;0,94;176
24;326.645;2.816;0,86;172
25;387.484;5.309;1,37;175
26;466.459;3.670;0,79;179
27;504.082;3.080;0,61;149
28;510.103;2.990;0,59;178
29;538.229;3.483;0,65;176
30;570.746;4.464;0,78;180
31;578.099;5.634;0,97;165
32;730.300;7.256;0,99;165
33;875.524;8.407;0,96;181
Summe;10.197.366;264.990;;
